"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Oct 02 23:39:46 GMT 2022","Sun Oct 02 23:39:49 GMT 2022","3048","","Main page","","","","See Facebook page, after click on ""Follow on Facebook""",""
"passed","Sun Oct 02 23:39:29 GMT 2022","Sun Oct 02 23:39:33 GMT 2022","3636","","Main page","","","","Show email on register page, after enter email on main page",""
"passed","Sun Oct 02 23:38:48 GMT 2022","Sun Oct 02 23:38:50 GMT 2022","2237","","Blog page","","","","Contain title ""IoT"", after click ""IoT Guide"" (example #5)",""
"passed","Sun Oct 02 23:39:37 GMT 2022","Sun Oct 02 23:39:40 GMT 2022","2726","","Main page","","","","Show right href, after move to Products",""
"passed","Sun Oct 02 23:39:49 GMT 2022","Sun Oct 02 23:39:51 GMT 2022","2620","","Main page","","","","See LinkedIn page, after click on ""Connect on LinkedIn""",""
"passed","Sun Oct 02 23:39:40 GMT 2022","Sun Oct 02 23:39:42 GMT 2022","2532","","Main page","","","","Show right href, after move to Pricing",""
"passed","Sun Oct 02 23:39:14 GMT 2022","Sun Oct 02 23:39:21 GMT 2022","7738","","Contact Us page","","","","Fill out the ""contact us"" form (example #2)",""
"passed","Sun Oct 02 23:39:00 GMT 2022","Sun Oct 02 23:39:06 GMT 2022","6026","","Contact Us page","","","","Form ""contact us"" with empty credentials",""
"passed","Sun Oct 02 23:38:43 GMT 2022","Sun Oct 02 23:38:45 GMT 2022","2311","","Blog page","","","","Contain title ""SIP Trunking"", after click ""SIP Trunk Guide"" (example #3)",""
"passed","Sun Oct 02 23:38:41 GMT 2022","Sun Oct 02 23:38:43 GMT 2022","2172","","Blog page","","","","Contain title ""VoIP"", after click ""VoIP Guide"" (example #2)",""
"passed","Sun Oct 02 23:39:06 GMT 2022","Sun Oct 02 23:39:13 GMT 2022","7546","","Contact Us page","","","","Fill out the ""contact us"" form (example #1)",""
"passed","Sun Oct 02 23:39:52 GMT 2022","Sun Oct 02 23:39:56 GMT 2022","4507","","Main page","","","","See Twitter page, after click on ""Follow on Twitter""",""
"passed","Sun Oct 02 23:38:38 GMT 2022","Sun Oct 02 23:38:41 GMT 2022","2290","","Blog page","","","","Contain title ""SMS"", after click ""SMS Guide"" (example #1)",""
"passed","Sun Oct 02 23:40:02 GMT 2022","Sun Oct 02 23:40:06 GMT 2022","4116","","Sign Up page","","","","Registration with correct credentials",""
"passed","Sun Oct 02 23:38:52 GMT 2022","Sun Oct 02 23:38:55 GMT 2022","2223","","Blog page","","","","Contain title ""Fax"", after click ""Fax Guide"" (example #7)",""
"passed","Sun Oct 02 23:39:24 GMT 2022","Sun Oct 02 23:39:26 GMT 2022","2027","","Main page","","","","See all button menu on the main page",""
"passed","Sun Oct 02 23:38:45 GMT 2022","Sun Oct 02 23:38:48 GMT 2022","2421","","Blog page","","","","Contain title ""WebRTC"", after click ""WebRTC Guide"" (example #4)",""
"passed","Sun Oct 02 23:38:37 GMT 2022","Sun Oct 02 23:38:38 GMT 2022","1447","","Blog page","","","","The page should contain the header ""Resource Hub""",""
"passed","Sun Oct 02 23:39:59 GMT 2022","Sun Oct 02 23:40:02 GMT 2022","2949","","Sign Up page","","","","Registration with empty credentials",""
"passed","Sun Oct 02 23:38:55 GMT 2022","Sun Oct 02 23:38:57 GMT 2022","2191","","Blog page","","","","Contain title ""SHAKEN/STIR"", after click ""SHAKEN/STIR Guide"" (example #8)",""
"passed","Sun Oct 02 23:39:26 GMT 2022","Sun Oct 02 23:39:29 GMT 2022","3237","","Main page","","","","See Sign up page, after click on ""Sign up""",""
"passed","Sun Oct 02 23:39:42 GMT 2022","Sun Oct 02 23:39:46 GMT 2022","3254","","Main page","","","","See Documentation page, after click on ""Developer Docs""",""
"passed","Sun Oct 02 23:38:50 GMT 2022","Sun Oct 02 23:38:52 GMT 2022","2169","","Blog page","","","","Contain title ""Two-Factor Authentication"", after click ""Two-Factor Authentication Guide"" (example #6)",""
"passed","Sun Oct 02 23:39:33 GMT 2022","Sun Oct 02 23:39:37 GMT 2022","3771","","Main page","","","","Show Contact page after click on ""Talk to an expert",""
